"gemeenten";"nieuwkomers per 1.000 inwoners 18+ jaar|2014";"nieuwkomers per 1.000 inwoners 18+ jaar|2015";"nieuwkomers per 1.000 inwoners 18+ jaar|2016";"nieuwkomers per 1.000 inwoners 18+ jaar|2017";"nieuwkomers per 1.000 inwoners 18+ jaar|2018";"nieuwkomers per 1.000 inwoners 18+ jaar|2019";"nieuwkomers per 1.000 inwoners 18+ jaar|2020";"nieuwkomers per 1.000 inwoners 18+ jaar|2021";"nieuwkomers per 1.000 inwoners 18+ jaar|2022";"nieuwkomers per 1.000 inwoners 18+ jaar|2023";"nieuwkomers per 1.000 inwoners 18+ jaar|2024"
"Lievegem";1,7;2,7;2,3;2,6;4,1;3,7;2,2;2,3;2,9;3,1;3,1
"Lille";1,7;1,8;2,3;2,6;2,9;3,9;2,5;2,2;3,9;2,5;3,6
"Linkebeek";6,1;5,3;11,4;8,8;10,6;10,5;7,7;8,5;7,0;15,3;7,6
"Lint";15,2;15,0;16,4;9,7;12,9;12,2;7,2;7,7;6,7;5,9;4,2
"Linter";2,9;1,9;1,9;2,7;2,4;1,7;2,4;2,4;1,5;1,5;1,8
"Lo-Reninge";0,8;1,5;0,4;0,0;2,7;0,8;1,5;1,6;0,8;2,7;5,9
"Lochristi";1,9;3,1;3,2;3,3;3,4;3,7;3,0;4,1;4,2;5,4;4,5
"Lokeren";3,3;4,0;4,9;4,1;4,8;5,4;3,8;4,7;7,1;8,4;7,8
"Lommel";5,2;6,5;8,3;5,8;7,3;19,1;14,3;6,6;15,1;16,0;12,1
"Londerzeel";3,9;3,3;4,3;5,4;5,5;7,9;4,5;4,1;6,4;6,3;5,9
"Lubbeek";2,2;2,4;15,7;8,9;3,6;3,9;4,4;2,2;3,2;5,8;3,1
"Lummen";2,2;2,6;3,6;2,2;4,6;7,0;6,0;3,7;4,9;2,9;3,0
"Maarkedal";1,5;1,7;1,4;1,2;1,2;2,1;1,1;1,7;1,9;2,3;1,5
"Maaseik";7,1;9,2;9,8;8,3;9,6;9,1;9,7;9,0;10,9;11,8;11,7
"Maasmechelen";9,6;8,8;9,1;11,5;10,3;10,2;10,1;7,1;11,4;11,9;10,7
"Machelen";7,4;6,6;13,5;8,6;11,1;9,6;10,8;10,1;9,9;12,4;12,2
"Maldegem";4,4;5,2;4,8;5,0;5,2;5,2;3,2;4,0;4,5;5,4;5,5
"Malle";3,0;3,6;4,7;4,6;4,4;9,8;6,6;5,4;4,4;6,6;5,8
"Mechelen";8,4;7,0;11,4;8,9;9,1;11,2;9,2;7,3;11,2;14,9;13,0
"Meerhout";5,3;3,5;5,4;3,8;6,7;6,3;5,1;2,7;2,9;4,8;4,2
"Meise";4,1;3,7;6,2;6,6;6,6;5,7;5,4;4,6;6,6;6,5;5,3
